Date,CENERGY,ALLWYN,GEK_TERNA,OTE,PPC,EYDAP,AEGEAN,MOTOR_OIL,FOYRK,VIOHALCO
2024-08-29,9.454840660095215,13.56620979309082,16.819875717163086,13.538474082946777,10.985504150390625,5.456965923309326,9.51914119720459,19.17861557006836,3.626929521560669,5.557547092437744
2024-08-30,9.454840660095215,13.294205665588379,16.994476318359375,13.347278594970703,11.004444122314453,5.536052227020264,9.510431289672852,19.44747543334961,3.752476692199707,5.557547092437744
2024-09-02,9.532819747924805,13.72771167755127,17.07207679748535,13.729670524597168,11.118086814880371,5.5261664390563965,9.719451904296875,19.4116268157959,3.7059779167175293,5.595874786376953
2024-09-03,9.376863479614258,13.685211181640625,17.07207679748535,13.565788269042969,11.080205917358398,5.595366954803467,9.841381072998047,19.805953979492188,3.7013280391693115,5.557547092437744
2024-09-04,9.454840660095215,13.676711082458496,16.800474166870117,13.738775253295898,10.852919578552246,5.555823802947998,9.832671165466309,19.6267147064209,3.6641287803649902,5.471308708190918
2024-09-05,9.454840660095215,13.600210189819336,16.936275482177734,13.793401718139648,11.013915061950684,5.575595378875732,10.032983779907227,19.87765121459961,3.6641287803649902,5.528800964355469
2024-09-06,9.318380355834961,13.583209991455078,16.897476196289062,13.64772891998291,11.070734977722168,5.585481643676758,9.963309288024902,19.967267990112305,3.6176297664642334,5.471308708190918
2024-09-09,9.357369422912598,13.583209991455078,16.781076431274414,13.65683364868164,11.023385047912598,5.585481643676758,9.87621784210205,19.6267147064209,3.626929521560669,5.423399448394775
2024-09-10,9.34762191772461,13.472707748413086,16.6840763092041,13.420114517211914,10.890801429748535,5.585481643676758,9.667197227478027,19.393701553344727,3.64552903175354,5.404234886169434
2024-09-11,9.162423133850098,13.251705169677734,16.52887725830078,13.483847618103027,10.843449592590332,5.565709590911865,9.597524642944336,19.232385635375977,3.5478811264038086,5.317997455596924
2024-09-12,9.152676582336426,13.28570556640625,16.470672607421875,13.529369354248047,10.559341430664062,5.585481643676758,9.36237621307373,19.17861557006836,3.5897300243377686,5.289251327514648
2024-09-13,9.318380355834961,13.600210189819336,16.6840763092041,13.629520416259766,10.796098709106445,5.575595378875732,9.318829536437988,19.4116268157959,3.7199275493621826,5.308415412902832
2024-09-16,9.38661003112793,13.557708740234375,16.761676788330078,13.693251609802246,10.682455062866211,5.575595378875732,9.240447044372559,19.37578010559082,3.710627794265747,5.317997455596924
2024-09-17,9.581555366516113,13.472707748413086,16.858675003051758,13.747879981994629,10.739276885986328,5.496509075164795,9.32753849029541,19.35785484313965,3.6966781616210938,5.337161540985107
2024-09-18,9.640040397644043,13.51520824432373,16.819875717163086,13.793401718139648,10.672986030578613,5.506394863128662,9.318829536437988,19.08899688720703,3.7199275493621826,5.289251327514648
2024-09-19,9.688775062561035,13.447206497192383,16.761676788330078,14.021016120910645,11.004444122314453,5.575595378875732,9.318829536437988,19.1965389251709,3.7431771755218506,5.365907192230225
2024-09-20,9.649785995483398,13.489707946777344,16.703475952148438,14.112061500549316,11.080205917358398,5.723882675170898,9.336248397827148,18.69466781616211,3.692028284072876,5.385071277618408
2024-09-23,9.523072242736816,13.489707946777344,16.994476318359375,14.203107833862305,11.392724990844727,5.694225311279297,9.283992767333984,18.748441696166992,3.7478272914886475,5.48089075088501
2024-09-24,9.669281005859375,13.540709495544434,17.1884765625,14.157584190368652,11.563189506530762,5.704111099243164,9.301411628723145,18.73051643371582,3.7199275493621826,5.586292743682861
2024-09-25,9.73751163482666,13.56620979309082,17.052677154541016,14.46713924407959,11.638951301574707,5.68433952331543,9.231738090515137,18.99937629699707,3.7199275493621826,5.691694736480713
2024-09-26,9.766754150390625,13.600210189819336,17.07207679748535,14.567289352416992,11.7241849899292,5.65468168258667,9.580105781555176,19.33993148803711,3.715277671813965,5.653366565704346
2024-09-27,9.805743217468262,13.583209991455078,17.09147834777832,14.640125274658203,11.59160041809082,5.664567947387695,9.667197227478027,19.08899688720703,3.6780784130096436,5.557547092437744
2024-09-30,9.747259140014648,13.56620979309082,17.130277633666992,14.102956771850586,11.40219497680664,5.674453258514404,9.51914119720459,19.05314826965332,3.5897300243377686,5.576711177825928
2024-10-01,9.73751163482666,13.523709297180176,17.169078826904297,14.330571174621582,11.345373153686523,5.605253219604492,9.553977966308594,19.017297744750977,3.6176297664642334,5.500054836273193
